animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
1927,2013-11-01,1,1,OP 15,KYLE,0,1,1,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.67
1927,2013-11-01,1,1,OP 15,KYLE,1,1,2,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,1.34
1927,2013-11-01,1,1,OP 15,KYLE,2,1,3,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.53
1927,2013-11-01,1,1,OP 15,KYLE,3,1,4,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.74
1927,2013-11-01,1,1,OP 15,KYLE,4,1,5,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,1.93
1927,2013-11-01,1,1,OP 15,KYLE,5,1,5,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.63
1927,2013-11-01,1,1,OP 15,KYLE,6,1,6,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.89
1927,2013-11-01,1,1,OP 15,KYLE,7,1,7,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.13
1927,2013-11-01,1,1,OP 15,KYLE,8,1,8,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.83
1927,2013-11-01,1,1,OP 15,KYLE,9,1,9,1,2,ETHYL ACETATE,ACETOPHENOME,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.06
