animal,date,session,box,StudyName,experimenter,counter,block,TrialNumber,Pvalve,Nvalve,Podour,Nodour,RF,SX,PUN,REQ,ITI,ParRF,TrialType,SS,licks,correct,reinforced,time
1928,2013-10-13,1,1,OP 11,KYLE,0,1,1,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,7,FALSE,FALSE,0.41
1928,2013-10-13,1,1,OP 11,KYLE,1,1,2,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,0.75
1928,2013-10-13,1,1,OP 11,KYLE,2,1,3,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,0.93
1928,2013-10-13,1,1,OP 11,KYLE,3,1,4,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.1
1928,2013-10-13,1,1,OP 11,KYLE,4,1,5,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,1.41
1928,2013-10-13,1,1,OP 11,KYLE,5,1,6,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.61
1928,2013-10-13,1,1,OP 11,KYLE,6,1,7,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,1.76
1928,2013-10-13,1,1,OP 11,KYLE,7,1,8,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,1.95
1928,2013-10-13,1,1,OP 11,KYLE,8,1,9,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.21
1928,2013-10-13,1,1,OP 11,KYLE,9,1,10,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.47
1928,2013-10-13,1,1,OP 11,KYLE,10,1,11,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,2.66
1928,2013-10-13,1,1,OP 11,KYLE,11,1,12,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,2.85
1928,2013-10-13,1,1,OP 11,KYLE,12,1,13,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,3.07
1928,2013-10-13,1,1,OP 11,KYLE,13,1,14,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,TRUE,0,NA,FALSE,3.21
1928,2013-10-13,1,1,OP 11,KYLE,14,1,14,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.43
1928,2013-10-13,1,1,OP 11,KYLE,15,1,15,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,3.59
1928,2013-10-13,1,1,OP 11,KYLE,16,1,16,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.11
1928,2013-10-13,1,1,OP 11,KYLE,17,1,17,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,1,TRUE,FALSE,4.27
1928,2013-10-13,1,1,OP 11,KYLE,18,1,18,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,4.48
1928,2013-10-13,1,1,OP 11,KYLE,19,1,19,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.64
1928,2013-10-13,1,1,OP 11,KYLE,20,1,20,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,4.92
1928,2013-10-13,1,1,OP 11,KYLE,21,2,1,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.27
1928,2013-10-13,1,1,OP 11,KYLE,22,2,2,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,5,TRUE,FALSE,5.45
1928,2013-10-13,1,1,OP 11,KYLE,23,2,3,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,5.73
1928,2013-10-13,1,1,OP 11,KYLE,24,2,4,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,5.93
1928,2013-10-13,1,1,OP 11,KYLE,25,2,5,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.13
1928,2013-10-13,1,1,OP 11,KYLE,26,2,6,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,6.34
1928,2013-10-13,1,1,OP 11,KYLE,27,2,7,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,6.5
1928,2013-10-13,1,1,OP 11,KYLE,28,2,8,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,2,TRUE,FALSE,6.76
1928,2013-10-13,1,1,OP 11,KYLE,29,2,9,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,4,TRUE,FALSE,7
1928,2013-10-13,1,1,OP 11,KYLE,30,2,10,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,7.19
1928,2013-10-13,1,1,OP 11,KYLE,31,2,11,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,7.37
1928,2013-10-13,1,1,OP 11,KYLE,32,2,12,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,7.67
1928,2013-10-13,1,1,OP 11,KYLE,33,2,13,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8.13
1928,2013-10-13,1,1,OP 11,KYLE,34,2,14,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,8.51
1928,2013-10-13,1,1,OP 11,KYLE,35,2,15,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,10,FALSE,FALSE,8.74
1928,2013-10-13,1,1,OP 11,KYLE,36,2,16,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,9.02
1928,2013-10-13,1,1,OP 11,KYLE,37,2,17,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,N,FALSE,3,TRUE,FALSE,9.57
1928,2013-10-13,1,1,OP 11,KYLE,38,2,18,2,1,CASSIA,CINNAMON,0.1,0.05,0,6,4,NO,P,FALSE,10,TRUE,TRUE,9.76
