mouse,op,rev,block,hit,p.trials,cr,n.trials,exclude
2163,0,no,1,8,10,2,10,FALSE
2163,0,no,2,6,6,3,6,FALSE
2163,0,no,3,10,10,2,10,FALSE
2163,0,no,4,10,10,7,10,FALSE
2163,1,no,1,10,10,2,10,FALSE
2163,1,no,2,10,10,6,10,FALSE
2163,1,no,3,6,6,4,5,FALSE
2163,1,no,4,10,10,6,10,FALSE
2163,1,no,5,10,10,9,10,FALSE
2163,1,yes,1,9,9,0,10,FALSE
2163,1,yes,2,10,10,0,10,FALSE
2163,1,yes,3,10,10,0,10,FALSE
2163,1,yes,4,10,10,2,10,FALSE
2163,1,yes,5,10,10,7,10,FALSE
2163,2,no,1,10,10,0,10,FALSE
2163,2,no,2,10,10,0,10,FALSE
2163,2,no,3,10,10,4,10,FALSE
2163,2,no,4,10,10,10,10,FALSE
2163,2,yes,1,1,9,0,10,TRUE
2163,2,yes,2,0,10,1,10,TRUE
2163,2,yes,3,0,6,2,7,TRUE
2163,3,no,1,9,10,7,10,FALSE
2163,3,no,2,10,10,10,10,FALSE
2163,3,yes,1,4,9,0,10,FALSE
2163,3,yes,2,10,10,0,10,FALSE
2163,3,yes,3,10,10,5,10,FALSE
2163,3,yes,4,10,10,7,10,FALSE
2163,4,no,1,10,10,0,10,FALSE
2163,4,no,2,10,10,1,10,FALSE
2163,4,no,3,10,10,0,10,FALSE
2163,4,no,4,10,10,5,10,FALSE
2163,4,no,5,10,10,9,10,FALSE
2163,4,yes,1,8,9,0,10,FALSE
2163,4,yes,2,10,10,1,10,FALSE
2163,4,yes,3,10,10,9,10,FALSE
2163,5,no,1,10,10,4,10,FALSE
2163,5,no,2,10,10,8,10,FALSE
2163,5,yes,1,0,9,5,10,TRUE
2163,5,yes,2,0,10,9,10,TRUE
2163,5,yes,3,0,10,6,10,TRUE
2163,5,yes,4,0,2,1,1,TRUE
2163,6,no,1,10,10,5,10,FALSE
2163,6,no,2,10,10,10,10,FALSE
2163,6,yes,1,8,9,4,10,FALSE
2163,6,yes,2,10,10,9,10,FALSE
2163,7,no,1,10,10,8,10,FALSE
2163,7,yes,1,10,10,7,10,FALSE
2163,8,no,1,10,10,7,10,FALSE
2163,8,yes,1,5,9,1,10,FALSE
2163,8,yes,2,10,10,6,10,FALSE
2163,8,yes,3,10,10,9,10,FALSE
2163,9,no,1,10,10,6,10,FALSE
2163,9,no,2,10,10,10,10,FALSE
2163,9,yes,1,9,9,8,10,FALSE
2163,10,no,1,10,10,6,10,FALSE
2163,10,no,2,10,10,10,10,FALSE
2163,10,yes,1,9,9,6,10,FALSE
2163,10,yes,2,10,10,9,10,FALSE
2163,11,no,1,7,10,6,10,FALSE
2163,11,no,2,10,10,7,10,FALSE
2163,11,yes,1,8,9,8,10,FALSE
2163,12,no,1,10,10,8,10,FALSE
2163,12,yes,1,8,9,3,10,FALSE
2163,12,yes,2,10,10,9,10,FALSE
2163,13,no,1,10,10,8,10,FALSE
2163,13,yes,1,8,9,8,10,FALSE
2163,14,no,1,10,10,7,10,FALSE
2163,14,yes,1,9,9,10,10,FALSE
2163,15,no,1,10,10,6,10,FALSE
2163,15,no,2,10,10,6,10,FALSE
2163,15,no,3,10,10,9,10,FALSE
2163,15,yes,1,9,9,2,10,FALSE
2163,15,yes,2,10,10,9,10,FALSE
2163,16,no,1,10,10,4,10,FALSE
2163,16,no,2,10,10,6,10,FALSE
2163,16,no,3,10,10,10,10,FALSE
2163,16,yes,1,9,9,7,10,FALSE
2163,17,no,1,10,10,9,10,FALSE
2163,17,yes,1,1,9,4,10,FALSE
2163,17,yes,2,1,10,5,10,FALSE
2163,17,yes,3,10,10,6,10,FALSE
2163,17,yes,4,10,10,9,10,FALSE
2163,18,no,1,10,10,7,10,FALSE
2163,18,yes,1,9,9,6,10,FALSE
2163,18,yes,2,10,10,9,10,FALSE
2163,retest,no,1,8,10,1,10,FALSE
2163,retest,no,2,9,10,3,10,FALSE
2163,retest,no,3,10,10,0,10,FALSE
2163,retest,no,4,6,10,5,10,FALSE
2163,retest,no,5,0,1,1,1,FALSE
2163,retest,no,6,8,10,2,10,FALSE
2163,retest,no,7,1,4,2,2,FALSE
2163,retest,no,8,9,10,1,10,FALSE
2163,retest,no,9,10,10,9,10,FALSE
